,cnpj,Faturamento,Funcionarios,TotalProtesto,ValorProtesto,BUSCA
273,11.991.736/0001-95,de 4.800.000 até 10.000.000,de 50 até 100,0,-,11991736000195
274,11.158.271/0001-96,de 30.000.000 até 100.000.000,de 100 até 500,0,-,RIVA EMBALAGENS LTDA Full Pack Embalagens
275,79.309.399/0001-47,de 1.500.000 até 4.800.000,de 10 até 50,0,-,Remabombas Industria Comercio E Servicos De Construcao Civil Ltda
276,22.226.515/0001-47,de 4.800.000 até 10.000.000,de 50 até 100,0,-,22226515000147
277,83.874.628/0001-43,de 10.000.000 até 30.000.000,de 100 até 500,34,"3.044.184,28",LABORATORIO FARMACEUTICO ELOFAR LTDA
278,08.202.415/0001-50,de 10.000.000 até 30.000.000,de 100 até 500,0,-,AHGORA SISTEMAS SA
279,14.780.354/0001-00,de 10.000.000 até 30.000.000,de 50 até 100,0,-,FORMPARTS INDUSTRIA METALURGICA EIRELI
280,10.661.839/0001-24,de 0 até 81.000,de 0 até 5,-,,N  C INDUSTRIA DE CALCADOS LTDA Via Contrmao
281,69.076.362/0001-62,de 0 até 81.000,de 10 até 50,0,-,SUL IMAGEM PRODUTOS PARA DIAGNOSTICOS EIRELI
282,82.868.928/0001-57,de 10.000.000 até 30.000.000,de 100 até 500,50,"6.082.552,33",LIGEYRINHO ALIMENTOS LTDA
283,75.487.058/0001-00,de 30.000.000 até 100.000.000,de 100 até 500,1273,"22.668.296,19",ARXO INDUSTRIAL DO BRASIL SA
284,10.486.894/0001-25,de 4.800.000 até 10.000.000,de 50 até 100,-,,GOLDEN INDUSTRIA CATARINENSE DE TINTAS
285,08.883.327/0001-60,de 4.800.000 até 10.000.000,de 50 até 100,0,-,PURAPAN IND E COM DE ALIMENTOS LTDA
286,86.046.612/0001-30,de 30.000.000 até 100.000.000,de 100 até 500,32,"84.167,82",MOVEIS RUDNICK SA
287,06.304.005/0001-94,de 0 até 81.000,de 10 até 50,-,,Tozzo Alimentos
288,01.167.639/0001-29,de 30.000.000 até 100.000.000,de 100 até 500,0,-,01167639000129
289,12.181.973/0001-53,de 10.000.000 até 30.000.000,de 50 até 100,0,-,12181973000153
290,11.398.216/0001-73,de 4.800.000 até 10.000.000,de 100 até 500,7,"1.643.519,32",TEXTURIZE DESENVOLVIMENTO TEXTIL EIRELI
291,76.573.427/0001-40,de 360.000 até 1.500.000,de 5 até 10,0,-,76573427000140
292,06.934.936/0001-76,de 360.000 até 1.500.000,de 0 até 5,-,,Cpl Distribuidora de Produtos Congelados Ltda
293,09.009.247/0001-43,de 4.800.000 até 10.000.000,de 100 até 500,0,-,09009247000143
294,00.111.968/0001-95,de 10.000.000 até 30.000.000,de 100 até 500,2,"690.812,32",Cena Embalagens
295,79.653.119/0001-13,de 100.000.000 até 300.000.000,de 100 até 500,0,-,79653119000113
296,03.262.696/0001-12,de 81.000 até 360.000,de 0 até 5,-,,COMERCIO E INDUSTRIA DE SORVETES ESK
297,82.636.986/0001-55,de 100.000.000 até 300.000.000,acima de 500,119,"55.643.038,14",TEKA TECELAGEM KUEHNRICH SA EM RECUPERACAO JUDICIAL
298,10.158.307/0001-79,de 30.000.000 até 100.000.000,de 100 até 500,0,-,CONFERSIL CONFECÇÕES
299,82.641.325/0001-18,de 500.000.000 até 1.000.000.000,de 100 até 500,24,"35.570,64",CREMER SA
300,46.258.455/0001-02,de 1.500.000 até 4.800.000,de 10 até 50,-,,BRASCOLA LTDA
301,19.052.573/0001-97,de 4.800.000 até 10.000.000,de 100 até 500,2,"10.107,92",CALÇADOS ITAMBÉ LTDA
302,80.070.378/0001-09,de 4.800.000 até 10.000.000,de 100 até 500,189,"4.561.057,79",INDUSTRIA METALURGICA SANTA LIBERA LTDA
303,04.516.331/0001-30,de 4.800.000 até 10.000.000,de 100 até 500,47,"484.582,07",K2 INDUSTRIA DO VESTUARIO IMPORTACAO E EXPORTACAO L
304,00.056.869/0001-58,de 1.500.000 até 4.800.000,de 10 até 50,72,"229.431,44",MP Sul Brasil Indústria e Comércio Ltda
305,01.731.172/0001-06,de 100.000.000 até 300.000.000,de 100 até 500,2,"573.357,61",BEBIDAS GRASSI DO BRASIL LTDA
306,06.885.646/0001-80,de 360.000 até 1.500.000,de 10 até 50,0,-,VS Molduras
307,81.766.156/0001-80,de 10.000.000 até 30.000.000,de 100 até 500,40,"8.215.073,66",PIERINI REVESTIMENTOS CERAMICOS LTDA
308,80.125.701/0001-96,de 0 até 81.000,de 10 até 50,-,,Grossl Indústria de Abrasivos
309,22.058.966/0001-12,de 81.000 até 360.000,de 10 até 50,-,,TRENZINHO INDUSTRIA E COMERCIO DE CONFECCAO DE ROUPAS EIRELI
310,29.197.799/0001-30,de 81.000 até 360.000,de 10 até 50,0,-,Nova Tendência Industria Textil
311,76.380.914/0001-97,de 4.800.000 até 10.000.000,de 100 até 500,0,-,76380914000197
312,00.578.702/0001-57,de 1.500.000 até 4.800.000,de 10 até 50,27,"203.598,44",ZETTA INDUSTRIAL DE PLASTICOS EIRELI EPP
313,81.604.837/0001-41,de 10.000.000 até 30.000.000,de 50 até 100,268,"6.344.564,56",ENGEACO INDUSTRIA E COMERCIO DE FERRO E ACO SA
314,83.662.247/0001-09,de 1.500.000 até 4.800.000,de 100 até 500,13,"902.677,09",TURFA FERTIL AGRO SA 3790488
315,91.013.698/0001-35,de 100.000.000 até 300.000.000,de 100 até 500,687,"42.937.886,53",91013698000135
316,00.218.077/0001-32,de 1.500.000 até 4.800.000,de 100 até 500,460,"2.958.121,30",00218077000132
317,92.195.692/0001-99,de 360.000 até 1.500.000,de 10 até 50,561,"70.461.413,77",92195692000199
318,04.820.019/0001-35,de 0 até 81.000,de 0 até 5,-,,EUROTELHAS IND COM LTDA negócio
319,71.467.211/0001-87,de 81.000 até 360.000,de 0 até 5,-,,QUINTA DO VALE ALIMENTOS LTDA negócio
320,92.195.692/0001-99,de 360.000 até 1.500.000,de 10 até 50,561,"70.461.413,77",COOPERATIVA ARROZEIRA EXTREMO SUL LTDA negócio
321,73.367.575/0001-10,de 30.000.000 até 100.000.000,de 100 até 500,0,-,THOMAS KL IND DE ALTO FALANTES SA negócio
322,04.908.287/0001-03,de 1.500.000 até 4.800.000,de 100 até 500,9,"3.204.405,82",ARROZEIRA ADIB PEIXOTO LTDA negócio
323,03.747.447/0001-17,de 81.000 até 360.000,de 0 até 5,-,,FRIGORIFICO SELBACH LTDA negócio
324,77.526.614/0001-36,de 0 até 81.000,de 0 até 5,-,,DI CANALLI COM TRANSP E EMP LTDA negócio
325,90.657.289/0001-09,acima de 1.000.000.000,de 50 até 100,0,-,COOPERATIVA AGRICOLA MISTA GENERAL OSORIO LTDA  COTRIBÁ negócio
326,94.854.908/0001-06,de 100.000.000 até 300.000.000,acima de 500,0,-,SERRA MORENA CORRETORA LTDA negócio
327,91.013.698/0001-35,de 100.000.000 até 300.000.000,de 100 até 500,687,"42.937.886,53",KEKO ACESSÓRIOS SA negócio
328,00.403.859/0001-41,de 81.000 até 360.000,de 0 até 5,-,,MUNDIAL SA negócio
329,13.785.854/0001-72,de 30.000.000 até 100.000.000,de 100 até 500,596,"6.561.916,73",MICROINOX FUNDIÇÃO DE PRECISÃO E USINAGEM LTDA negócio
330,87.102.810/0001-37,de 300.000.000 até 500.000.000,de 100 até 500,0,-,ARAUPEL SA negócio
331,08.651.140/0001-31,de 10.000.000 até 30.000.000,de 100 até 500,63,"8.625.700,78",CORDOARIA SÃO LEOPOLDO ORIGINAL LTDA negócio
332,01.362.418/0001-01,de 0 até 81.000,de 0 até 5,-,,BRASFIL IND COM DE PRODUTOS DE LIMPEZA LTDA negócio
333,41.477.142/0001-21,de 0 até 81.000,de 10 até 50,-,,Negócio Inbrape
334,00.651.685/0001-36,de 0 até 81.000,de 10 até 50,-,,Negócio Laminados Suzin
335,01.176.209/0001-73,de 81.000 até 360.000,de 5 até 10,-,,Negócio AndreaFabricio
336,05.472.756/0001-57,de 81.000 até 360.000,de 0 até 5,-,,WEB ATF Credit deal
337,12.788.472/0001-30,de 4.800.000 até 10.000.000,de 50 até 100,38,"2.495.191,34",12788472000130
338,00.844.239/0001-48,de 30.000.000 até 100.000.000,de 100 até 500,198,"108.882.987,82",00844239000148
339,76.524.370/0001-90,de 1.500.000 até 4.800.000,de 100 até 500,32,"432.576,90",76524370000190
340,17.047.353/0001-40,de 10.000.000 até 30.000.000,de 100 até 500,24,"1.273.508,71",17047353000140
341,80.382.054/0001-06,de 10.000.000 até 30.000.000,de 100 até 500,75,"912.989,95",80382054000106
342,13.601.614/0001-70,de 81.000 até 360.000,de 10 até 50,217,"920.604,70",13601614000170
343,01.445.505/0001-22,de 1.500.000 até 4.800.000,de 50 até 100,50,"170.890,75",REFRAN ESPUMAS E BORDADOS LTDA  ME
344,06.143.681/0001-23,de 360.000 até 1.500.000,de 10 até 50,79,"1.027.454,40",06143681000123
345,76.547.397/0001-06,de 0 até 81.000,de 100 até 500,18,"5.537.429,52",76547397000106
346,00.059.799/0001-91,de 10.000.000 até 30.000.000,acima de 500,19,"162.112,00",00059799000191
347,15.057.926/0001-90,de 81.000 até 360.000,de 0 até 5,0,-,15057926000190
348,75.801.936/0001-10,de 30.000.000 até 100.000.000,de 100 até 500,1,"568,00",75801936000110
349,02.385.570/0001-72,de 30.000.000 até 100.000.000,de 100 até 500,0,-,02385570000172
350,11.165.831/0001-30,de 81.000 até 360.000,de 10 até 50,94,"1.252.045,85",11165831000130
351,02.375.902/0001-38,de 100.000.000 até 300.000.000,de 100 até 500,155,"10.948.409,06",02375902000138
352,08.278.672/0001-75,de 30.000.000 até 100.000.000,de 10 até 50,229,"1.896.772,11",08278672000175
353,06.293.564/0001-46,de 30.000.000 até 100.000.000,de 100 até 500,1,"21.490,57",06293564000146
354,16.437.064/0001-94,de 1.500.000 até 4.800.000,de 50 até 100,582,"4.602.115,30",16437064000194
355,77.948.750/0001-14,de 30.000.000 até 100.000.000,de 100 até 500,0,-,77948750000114
356,02.555.908/0001-97,de 10.000.000 até 30.000.000,de 50 até 100,14,"3.206.984,12",02555908000197
357,75.190.983/0001-75,de 30.000.000 até 100.000.000,de 100 até 500,0,-,75190983000175
358,82.056.185/0001-10,de 10.000.000 até 30.000.000,de 100 até 500,376,"19.794.417,33",82056185000110
359,16.433.946/0001-81,de 81.000 até 360.000,de 0 até 5,16,"106.281,34",16433946000181
360,04.016.420/0001-17,de 10.000.000 até 30.000.000,de 100 até 500,1,"2.188,33",04016420000117
361,10.624.194/0001-50,de 360.000 até 1.500.000,de 10 até 50,25,"125.692,90",10624194000150
362,76.492.305/0001-20,de 30.000.000 até 100.000.000,de 100 até 500,0,-,ÁGUAS OURO FINO
363,76.488.469/0001-83,de 30.000.000 até 100.000.000,acima de 500,16,"126.990,53",76488469000183
364,75.046.276/0001-00,de 0 até 81.000,de 10 até 50,0,-,75046276000100
365,78.002.037/0001-46,de 30.000.000 até 100.000.000,de 100 até 500,0,-,78002037000146
366,81.114.803/0001-79,de 30.000.000 até 100.000.000,de 100 até 500,0,-,81114803000179
367,08.775.142/0001-32,de 100.000.000 até 300.000.000,de 100 até 500,0,-,08775142000132
368,02.538.436/0001-64,de 10.000.000 até 30.000.000,de 100 até 500,0,-,02538436000164
369,79.142.139/0001-20,de 30.000.000 até 100.000.000,de 100 até 500,120,"369.364,22",79142139000120
370,82.277.377/0001-57,de 1.500.000 até 4.800.000,de 10 até 50,0,-,82277377000157
371,06.164.824/0001-83,de 30.000.000 até 100.000.000,de 50 até 100,423,"7.497.010,86",06164824000183
372,09.465.904/0001-67,de 4.800.000 até 10.000.000,de 50 até 100,0,-,09465904000167
373,09.649.019/0001-38,de 81.000 até 360.000,de 10 até 50,65,"1.001.458,69",09649019000138
374,76.904.192/0001-22,de 10.000.000 até 30.000.000,de 100 até 500,53,"3.540.121,94",76904192000122
375,77.753.804/0001-96,de 4.800.000 até 10.000.000,de 100 até 500,0,-,77753804000196
376,03.531.165/0001-88,de 30.000.000 até 100.000.000,de 100 até 500,0,-,CALÇADOS CARTOM LTDA
377,03.509.540/0001-93,de 10.000.000 até 30.000.000,de 50 até 100,0,-,03509540000193
378,81.205.619/0001-34,de 4.800.000 até 10.000.000,de 50 até 100,0,-,81205619000134
379,76.657.030/0001-37,de 30.000.000 até 100.000.000,de 100 até 500,22,"7.615,99",76657030000137
380,13.095.956/0001-66,de 4.800.000 até 10.000.000,de 50 até 100,0,-,13095956000166
381,08.013.648/0001-04,de 0 até 81.000,acima de 500,1,"19.500,00",08013648000104
382,05.882.704/0001-59,de 81.000 até 360.000,de 10 até 50,-,,05882704000159
383,01.237.167/0001-33,de 360.000 até 1.500.000,de 10 até 50,-,,01237167000133
384,07.688.318/0001-56,de 10.000.000 até 30.000.000,de 50 até 100,0,-,07688318000156
385,80.228.190/0001-38,de 10.000.000 até 30.000.000,de 100 até 500,75,"148.472,86",80228190000138
386,85.498.269/0001-00,de 10.000.000 até 30.000.000,de 50 até 100,10,"4.937.619,46",85498269000100
387,03.055.815/0002-47,de 1.500.000 até 4.800.000,de 10 até 50,28,"2.306.929,64",03055815000247
388,01.133.434/0001-22,de 81.000 até 360.000,de 10 até 50,6,"489.710,88",01133434000122
389,04.576.327/0001-67,de 30.000.000 até 100.000.000,de 0 até 5,14,"1.002.118,40",04576327000167
390,75.048.611/0001-09,de 4.800.000 até 10.000.000,de 100 até 500,23,"592.357,32",75048611000109
391,07.106.525/0001-55,de 10.000.000 até 30.000.000,acima de 500,2,"49.664,61",07106525000155
392,02.178.116/0001-40,de 10.000.000 até 30.000.000,de 50 até 100,101,"20.042.717,92",02178116000140
393,76.096.155/0001-35,de 1.500.000 até 4.800.000,de 10 até 50,18,"28.753,40",76096155000135
394,85.053.296/0001-61,de 10.000.000 até 30.000.000,de 50 até 100,85,"6.678.936,30",85053296000161
395,80.218.514/0001-57,de 10.000.000 até 30.000.000,de 50 até 100,0,-,80218514000157
396,76.489.533/0001-40,de 10.000.000 até 30.000.000,de 100 até 500,0,-,76489533000140
397,14.174.701/0001-51,de 81.000 até 360.000,de 0 até 5,-,,14174701000151
398,13.861.424/0001-92,de 0 até 81.000,de 10 até 50,8,"5.307,08",13861424000192
399,80.550.452/0001-86,de 100.000.000 até 300.000.000,de 100 até 500,0,-,80550452000186
400,76.642.891/0001-41,de 100.000.000 até 300.000.000,de 100 até 500,505,"12.278.221,69",76642891000141
401,04.168.163/0001-39,de 0 até 81.000,de 100 até 500,1,"2.800,00",04168163000139
402,10.684.688/0001-20,de 0 até 81.000,de 0 até 5,-,,Salute Importadora e Exportadora Ltda
403,88.657.606/0001-45,de 4.800.000 até 10.000.000,de 50 até 100,111,"463.986,02",METALURGICA REMACO LTDA
404,93.831.832/0001-30,de 30.000.000 até 100.000.000,de 100 até 500,20,"15.302.146,75",ACRILYS DO BRASIL LAMINADOS PLASTICOS LTDA
405,94.495.637/0001-40,de 30.000.000 até 100.000.000,de 100 até 500,0,-,94495637000140
406,05.061.998/0001-58,de 10.000.000 até 30.000.000,de 50 até 100,0,-,Ezata Industrial ltda
407,97.580.260/0001-15,de 30.000.000 até 100.000.000,de 100 até 500,0,-,Pietrobon  Cia Ltda
408,01.913.346/0001-43,de 1.500.000 até 4.800.000,de 10 até 50,0,-,Implemaster Indde Equipamentos Agricola Ltda
409,07.510.884/0001-73,de 100.000.000 até 300.000.000,de 100 até 500,0,-,INDUSTRIA DE ALIMENTOS ESTRELA EIRELI
410,94.696.242/0001-05,de 1.500.000 até 4.800.000,de 10 até 50,0,-,TRES DESIGN E EMBALAGENS LTDA
411,88.176.995/0001-97,de 30.000.000 até 100.000.000,de 100 até 500,0,-,88176995000197
412,03.186.880/0001-20,de 30.000.000 até 100.000.000,de 100 até 500,35,"5.320.266,07",03186880000120
413,88.665.005/0001-84,de 10.000.000 até 30.000.000,de 50 até 100,21,"8.192.341,04",88665005000184
414,24.677.001/0001-33,de 360.000 até 1.500.000,de 0 até 5,-,,Polymer Industria Plasticos Ltda
415,90.336.215/0001-70,de 30.000.000 até 100.000.000,de 50 até 100,293,"7.404.624,93",90336215000170
416,10.305.742/0001-89,de 81.000 até 360.000,de 10 até 50,177,"1.069.863,79",MVM INDÚSTRIA E COMÉRCIO DE REVESTIMENTOS SINTÉTICOS LTDA
417,89.317.697/0001-32,de 100.000.000 até 300.000.000,de 100 até 500,1,"204,15",TW TRANSPORTES E LOGÍSTICA LTDA
418,05.602.164/0001-02,de 0 até 81.000,de 0 até 5,-,,INCORPOL INDCOM DE POLTRONAS LTDA
419,02.897.594/0001-00,de 4.800.000 até 10.000.000,de 100 até 500,0,-,02897594000100
420,91.589.507/0001-88,de 500.000.000 até 1.000.000.000,de 100 até 500,1,"283,06",COOPERATIVA  AGROPECUÁRIA PETRÓPOLIS LTDA
421,04.586.600/0001-34,de 1.500.000 até 4.800.000,de 10 até 50,0,-,04586600000134
422,18.034.057/0001-77,de 10.000.000 até 30.000.000,de 50 até 100,4,"1.944.735,41",18034057000177
423,87.175.824/0001-80,de 10.000.000 até 30.000.000,de 100 até 500,21,"60.065,11",87175824000180
424,10.955.794/0001-09,de 1.500.000 até 4.800.000,de 50 até 100,161,"2.631.535,36",10955794000109
425,00.879.252/0001-32,de 30.000.000 até 100.000.000,de 100 até 500,0,-,00879252000132
426,24.418.900/0001-11,de 30.000.000 até 100.000.000,de 50 até 100,0,-,24418900000111
427,08.650.630/0001-13,de 1.500.000 até 4.800.000,de 10 até 50,14,"54.978,21",08650630000113
428,06.005.521/0002-07,de 10.000.000 até 30.000.000,de 50 até 100,57,"1.894.122,32",06005521000207
429,04.531.177/0001-75,de 30.000.000 até 100.000.000,de 100 até 500,0,-,04531177000175
430,21.072.618/0001-37,de 1.500.000 até 4.800.000,de 10 até 50,-,,21072618000137
431,09.106.695/0001-65,de 81.000 até 360.000,de 10 até 50,0,-,09106695000165
432,91.192.294/0001-56,de 4.800.000 até 10.000.000,de 50 até 100,38,"1.606.420,99",91192294000156
433,09.216.620/0001-37,de 100.000.000 até 300.000.000,de 100 até 500,0,-,09216620000137
434,90.148.016/0001-39,de 10.000.000 até 30.000.000,de 50 até 100,54,"5.510.961,94",90148016000139
435,92.693.928/0001-17,de 0 até 81.000,de 10 até 50,1227,"5.125.555,31",92693928000117
436,07.752.236/0001-23,de 100.000.000 até 300.000.000,de 50 até 100,0,-,07752236000123
437,14.178.395/0001-21,de 4.800.000 até 10.000.000,de 50 até 100,2,"20.920,90",14178395000121
438,05.042.570/0001-68,de 1.500.000 até 4.800.000,de 10 até 50,0,-,05042570000168
439,03.809.754/0001-85,de 10.000.000 até 30.000.000,de 50 até 100,680,"1.874.115,68",03809754000185
440,94.576.196/0001-00,de 360.000 até 1.500.000,de 10 até 50,106,"749.828,85",94576196000100
441,96.551.445/0001-39,de 10.000.000 até 30.000.000,de 100 até 500,1,"597.201,30",96551445000139
442,06.274.736/0001-34,de 1.500.000 até 4.800.000,de 10 até 50,27,"58.482,64",06274736000134
443,73.289.050/0001-04,de 1.500.000 até 4.800.000,de 100 até 500,862,"32.615.619,43",73289050000104
444,03.041.024/0001-87,de 10.000.000 até 30.000.000,de 100 até 500,66,"380.945,27",03041024000187
445,89.576.573/0001-71,de 10.000.000 até 30.000.000,de 100 até 500,0,-,IND DE PALMILHAS BROCKER LTDA
446,93.647.881/0001-18,de 10.000.000 até 30.000.000,de 100 até 500,227,"5.331.284,77",PARMISSIMO ALIMENTOS LTDA
447,02.116.027/0001-70,de 10.000.000 até 30.000.000,de 50 até 100,0,-,02116027000170
448,90.455.866/0001-80,de 500.000.000 até 1.000.000.000,de 100 até 500,135,"18.906.912,75",90455866000180
449,91.013.698/0001-35,de 100.000.000 até 300.000.000,de 100 até 500,687,"42.937.886,53",91013698000135
450,89.432.702/0001-58,de 100.000.000 até 300.000.000,de 100 até 500,152,"32.580.761,89",89432702000158
451,11.427.238/0001-14,de 4.800.000 até 10.000.000,de 50 até 100,0,-,11427238000114
452,01.631.857/0001-72,de 1.500.000 até 4.800.000,de 10 até 50,0,-,01631857000172
453,08.889.084/0001-78,de 10.000.000 até 30.000.000,de 50 até 100,0,-,LAMIECCO PLASTICOS SA
454,94.623.907/0001-50,de 1.500.000 até 4.800.000,de 10 até 50,15,"540.506,68",94623907000150
455,73.325.722/0001-90,de 0 até 81.000,de 100 até 500,1818,"19.005.625,56",DAGNESE  CIA LTDA
456,21.189.130/0001-94,de 1.500.000 até 4.800.000,de 10 até 50,0,-,21189130000194
457,01.506.081/0001-69,de 10.000.000 até 30.000.000,de 100 até 500,286,"14.732.317,45",01506081000169
458,89.735.070/0001-00,de 100.000.000 até 300.000.000,de 100 até 500,0,-,GAUCHAFARMA MEDICAMENTOS LTDA
459,06.637.075/0001-64,de 4.800.000 até 10.000.000,de 50 até 100,0,-,06637075000164
460,03.392.827/0001-86,de 30.000.000 até 100.000.000,de 100 até 500,67,"10.031.031,84",TEDESCO ENGENHARIA E LOGISTICA LTDA
461,91.772.301/0001-99,de 1.500.000 até 4.800.000,de 100 até 500,0,-,91772301000199
462,90.463.704/0001-93,de 10.000.000 até 30.000.000,de 50 até 100,0,-,90463704000193
463,00.165.042/0001-82,de 360.000 até 1.500.000,de 10 até 50,0,-,PLASTILINE PLASTICOS LTDA
464,93.002.913/0001-28,de 1.500.000 até 4.800.000,de 10 até 50,25,"2.682.574,47",93002913000128
465,10.778.133/0001-47,de 81.000 até 360.000,de 10 até 50,0,-,10778133000147
466,16.707.463/0001-28,de 4.800.000 até 10.000.000,de 50 até 100,151,"427.058,48",16707463000128
467,91.733.105/0001-05,de 1.500.000 até 4.800.000,de 10 até 50,112,"1.663.527,46",91733105000105
468,91.938.712/0001-01,de 100.000.000 até 300.000.000,de 100 até 500,2366,"34.530.132,50",91938712000101
469,89.938.500/0001-82,de 100.000.000 até 300.000.000,acima de 500,172,"1.894.666,03",89938500000182
470,88.303.375/0001-71,de 100.000.000 até 300.000.000,de 100 até 500,0,-,88303375000171
471,94.576.196/0002-91,de 360.000 até 1.500.000,de 5 até 10,106,"749.828,85",94576196000291
472,91.271.718/0001-78,de 10.000.000 até 30.000.000,acima de 500,131,"2.856.538,76",91271718000178
473,89.568.224/0001-08,de 4.800.000 até 10.000.000,de 100 até 500,0,-,MAX INDUSTRIA METALURGICA LTDA
474,87.247.250/0001-09,de 360.000 até 1.500.000,de 10 até 50,110,"268.070,15",TEDERKE INDUSTRIA DE ESQUADRIAS E ESTRUTURAS METALICAS LTDA
475,91.669.622/0001-62,de 4.800.000 até 10.000.000,de 100 até 500,58,"7.398.938,74",MAQUINAS KLEIN SA INDUSTRIA E COMERCIO
476,88.614.078/0001-47,de 30.000.000 até 100.000.000,de 100 até 500,131,"8.631.928,57",88614078000147
477,88.665.005/0001-84,de 10.000.000 até 30.000.000,de 50 até 100,21,"8.192.341,04",METALURGICA BUZIN LTDA
478,02.487.863/0001-60,de 10.000.000 até 30.000.000,de 50 até 100,0,-,AGRAZ REFRIGERACAO LTDA
479,88.644.091/0001-49,de 10.000.000 até 30.000.000,de 10 até 50,576,"7.995.664,70",88644091000149
480,08.304.710/0001-17,de 0 até 81.000,de 10 até 50,1,"99,20",08304710000117
481,08.304.710/0001-17,de 0 até 81.000,de 10 até 50,1,"99,20",08304710000117
482,92.639.954/0001-67,de 30.000.000 até 100.000.000,de 100 até 500,230,"18.188.080,72",92639954000167
483,89.568.224/0001-08,de 4.800.000 até 10.000.000,de 100 até 500,0,-,89568224000108
484,91.675.868/0001-47,de 1.500.000 até 4.800.000,de 100 até 500,134,"4.182.047,96",91675868000147
485,77.254.357/0001-20,de 0 até 81.000,de 0 até 5,-,,SODERTECNO IND E COM DE MAQUINAS E IMPLEMENTOS AGRI
486,05.864.267/0001-40,de 1.500.000 até 4.800.000,de 10 até 50,203,"1.600.937,05",05864267000140
487,14.443.463/0001-32,de 0 até 81.000,de 0 até 5,-,,CARMETAL IMPLEMENTOS AGRICOLAS E RODOVIARIOS EIRELI 4261268
488,32.966.327/0001-09,de 0 até 81.000,de 0 até 5,-,,RODA FORTE IND E COM DE COMPONENTES AGRI
489,08.888.040/0001-23,de 300.000.000 até 500.000.000,de 50 até 100,4,"7.095,74",CP COMERCIAL SA
490,96.551.445/0001-39,de 10.000.000 até 30.000.000,de 100 até 500,1,"597.201,30",CAMBARA S A PRODUTOS FLORESTAIS
491,13.179.869/0001-97,de 81.000 até 360.000,de 0 até 5,-,,F L Industria Metalurgica
492,02.254.796/0001-34,de 360.000 até 1.500.000,de 5 até 10,3,"47.038,11",Engegar Industria de Plasticos e Matrizes
493,93.831.832/0001-30,de 30.000.000 até 100.000.000,de 100 até 500,20,"15.302.146,75",ACRILYS DO BRASIL LAMINADOS PLASTICOS LTDA
494,10.894.877/0001-27,de 1.500.000 até 4.800.000,de 10 até 50,0,-,D LINEA INDUSTRIA E COMERCIO DE MOVEIS LTDA EPP 4361537
495,04.826.813/0001-96,de 4.800.000 até 10.000.000,de 10 até 50,268,"946.995,33",04826813000196
496,74.567.819/0001-71,de 81.000 até 360.000,de 0 até 5,-,,SPIAZZI ALIMENTOS LTDA  EPP
497,02.165.617/0001-92,de 360.000 até 1.500.000,de 10 até 50,79,"531.850,69",W W EXPORT LTDA
498,91.687.129/0001-75,de 1.500.000 até 4.800.000,de 100 até 500,377,"16.852.879,53",RENUS INDUSTRIA DE METAIS E PLASTICOS LTDA
499,92.693.928/0001-17,de 0 até 81.000,de 10 até 50,1227,"5.125.555,31",KOCH METALURGICA SA
500,10.581.641/0001-30,de 81.000 até 360.000,de 0 até 5,-,,L L PRE FABRICADO LTDA EPP 4506087
501,17.532.781/0001-68,de 1.500.000 até 4.800.000,de 50 até 100,56,"185.347,12",RG ARTEFATOS DE BORRACHA LTDA 4244454
502,07.762.675/0001-17,de 30.000.000 até 100.000.000,de 100 até 500,0,-,M M LEITE PRODUTOS DE NUTRICAO ANIMAL LTDA 2660825
503,84.932.748/0001-12,de 4.800.000 até 10.000.000,de 50 até 100,55,"25.095.813,54",POLPA DE MADEIRAS LTDA
504,09.243.752/0001-58,de 81.000 até 360.000,de 10 até 50,0,-,SUPERFRUT SORVETES LTDA ME 3968352
505,16.661.864/0001-94,de 81.000 até 360.000,de 10 até 50,44,"102.403,75",COSTA INJETADOS INDUSTRIA E COMERCIO LTDA ME
506,04.626.360/0001-54,de 30.000.000 até 100.000.000,acima de 500,417,"2.782.731,16",RODOTECNICA INDUSTRIA DE IMPLEMENTOS RODOVIARIOS EIRELI
507,05.924.516/0001-46,de 1.500.000 até 4.800.000,de 10 até 50,1,"863,00",M BRINO METALÚRGICA
508,93.831.832/0001-30,de 30.000.000 até 100.000.000,de 100 até 500,20,"15.302.146,75",ACRILYS DO BRASIL LAMINADOS PLASTICOS LTDA
509,90.771.833/0001-49,de 30.000.000 até 100.000.000,de 100 até 500,0,-,G PANIZ INDUSTRIA DE EQUIPAMENTOS PARA ALIMENTACAO LTDA
510,00.680.547/0001-85,de 81.000 até 360.000,de 0 até 5,-,,KOBA IND E COM DE PLASTICOS LTDA
511,07.405.506/0001-20,de 10.000.000 até 30.000.000,de 100 até 500,0,-,REDEPLAST INDUSTRIA DE CALCADOS LTDA
512,91.192.294/0001-56,de 4.800.000 até 10.000.000,de 50 até 100,38,"1.606.420,99",MOVEIS D CANDIDA INDUSTRIAS MOVELEIRAS LTDA
513,73.638.470/0001-59,de 4.800.000 até 10.000.000,de 100 até 500,0,-,DIVICAR MOVEIS LTDA
514,90.510.397/0001-54,de 1.500.000 até 4.800.000,de 50 até 100,0,-,BOFF INDUSTRIA DE AUTO PECAS LTDA
515,11.274.118/0001-24,de 81.000 até 360.000,de 0 até 5,-,,RODOPLAST IND E COM DE COMPONENTES PLASTICOS LTDA
