,CnpjCpf,Nome,NomeFantasia,Logradouro,NumeroLogradouro,ComplementoEndereco,BairroEndereco,MunicipioEndereco,UfEndereco,TelefonePrincipal,EmailPrincipal,Site,ReceitaSituacao,ReceitaDataSituacao,ReceitaMotivoSituacao,ReceitaTipo,ReceitaAbertura,ReceitaNaturezaJuridica,ReceitaEFR,ReceitaSituacaoEspecial,ReceitaDataSituacaoEspecial,ReceitaCapitalSocial,CadastroRaizCNPJ_Id,Nire,OpcaoTributaria,SimplesNacional,SIMEI,SimplesNacionalSIMEIConsultaDe,Porte,ReceitaAtividade,ReceitaAtividadeSecundaria,VaduAtividadeCNAE,ReceitaMatrizCapitalSocial,CepEnderecoFormatado,Socios,CodIbge
316,06.101.244/0001-47,INKOR - INDUSTRIA CATARINENSE DE COLAS E REJUNTES LTDA,,AV LEVY RAMOS MARTINS,SN,LOTE 12 E 13 DISTRITO INDUSTRIAL,NOVA BRASILIA,IMBITUBA,SC,(48) 3255-5551,,,ATIVA,2004-10-23T00:00:00.000,,MATRIZ,2004-02-05T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,8200000.0,6101244,42.203.409.285,,False,False,2018-11-20T00:00:00.000,DEMAIS,"20.91-6/00 Fabricação de adesivos e selantes
","49.30-2/02 Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional
20.71-1/00 Fabricação de tintas, vernizes, esmaltes e lacas
47.44-0/99 Comércio varejista de materiais de construção em geral
20.62-2/00 Fabricação de produtos de limpeza e polimento
49.30-2/03 Transporte rodoviário de produtos perigosos
",Indústria,8200000.0,88780-000,"[{'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'LICIANE ONDINA CANDIDO', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'MANOEL ANTONIO TEIXEIRA', 'NomeRepresentanteLegal': None}, {'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'LUIZ GONZAGA CARVALHO', 'NomeRepresentanteLegal': None}]",4207304
317,05.783.903/0001-00,BENEX BENEFICIAMENTO TEXTIL LTDA EM RECUPERACAO JUDICIAL,BENEX,R MARECHAL FLORIANO PEIXOTO,3139,GALPAO 01,ESTRADA DAS AREIAS,INDAIAL,SC,(47) 3332-235 / (47) 2123-2500,,www.benex.com.br,ATIVA,2004-09-04T00:00:00.000,,MATRIZ,2003-07-10T00:00:00.000,206-2 - Sociedade Empresária Limitada,,RECUPERACAO JUDICIAL,2017-03-14T00:00:00.000,,5783903,42.203.327.734,LUCRO REAL,False,False,2021-05-14T16:20:38.000,DEMAIS,"13.40-5/02 Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário
","00.00-0/00 Não informada
",Indústria,,89080-001,"[{'Qualificacao': '05-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'DILNEI HEINZEN', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'GUSTAVO STANGELIN HEINZEN', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'MRA ADMINISTRADORA DE BENS S/A', 'NomeRepresentanteLegal': None}]",4207502
318,07.756.543/0001-82,INCOVISA COMERCIO IMPORTACAO E EXPORTACAO LTDA,INCOVISA VIDROS,RUA PAULO ZIMMERMANN,1025,,JARDIM JANAINA,BIGUACU,SC,(48) 3202-9929,fatima@incovisa.com.br,www.incovisa.com.br,INAPTA,2006-11-28T00:00:00.000,PRATICA IRR. OPERACAO COMEXT,MATRIZ,2005-12-07T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,600000.0,7756543,42.203.704.007,,False,False,2021-04-06T13:38:28.000,DEMAIS,,,,600000.0,88161-850,"[{'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'CARLOS ALBERTO RIBEIRO DE SOUZA', 'NomeRepresentanteLegal': None}, {'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'ASELI NIEHUES DE SOUZA', 'NomeRepresentanteLegal': None}]",4202305
319,84.432.111/0001-67,URBANO AGROINDUSTRIAL LTDA,,R JOAO JANUARIO AYROSO,3183,,SAO LUIS,JARAGUA DO SUL,SC,(47) 3372-7523/ (47) 3372-7500,celso@urbano.com.br,www.urbano.com.br,ATIVA,2005-11-03T00:00:00.000,,MATRIZ,1966-09-01T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,338985797.0,84432111,42.200.247.454,LUCRO REAL,False,False,2018-11-20T00:00:00.000,DEMAIS,"10.61-9/01 Beneficiamento de arroz
","52.50-8/03 Agenciamento de cargas, exceto para o transporte marítimo
46.32-0/01 Comércio atacadista de cereais e leguminosas beneficiados
46.39-7/01 Comércio atacadista de produtos alimentícios em geral
14.12-6/01 Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida
01.11-3/01 Cultivo de arroz
52.11-7/99 Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis
10.66-0/00 Fabricação de alimentos para animais
10.61-9/02 Fabricação de produtos do arroz
35.11-5/01 Geração de energia elétrica
64.62-0/00 Holdings de instituições não financeiras
13.40-5/99 Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário
49.30-2/02 Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional
",Indústria,338985797.0,89253-565,"[{'Qualificacao': '05-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'ADENOR FRANZNER', 'NomeRepresentanteLegal': None}, {'Qualificacao': '05-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'DORVAL FRANZNER', 'NomeRepresentanteLegal': None}, {'Qualificacao': '05-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'RENATO FRANZNER', 'NomeRepresentanteLegal': None}, {'Qualificacao': '05-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'JOSE JAIR FRANZNER', 'NomeRepresentanteLegal': None}, {'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'JAIME FRANZNER', 'NomeRepresentanteLegal': None}, {'Qualificacao': '05-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'GUIDO FRANZNER', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '05-Administrador', 'Nome': 'J J B A PARTICIPACOES LTDA', 'NomeRepresentanteLegal': 'JAIME FRANZNER'}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '05-Administrador', 'Nome': 'A D I F PARTICIPACOES LTDA', 'NomeRepresentanteLegal': 'ADENOR FRANZNER'}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '05-Administrador', 'Nome': 'LUANJO PARTICIPACOES LTDA', 'NomeRepresentanteLegal': 'GUIDO FRANZNER'}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '05-Administrador', 'Nome': 'DONE PARTICIPACOES LTDA', 'NomeRepresentanteLegal': 'DORVAL FRANZNER'}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '05-Administrador', 'Nome': 'REMU PARTICIPACOES LTDA', 'NomeRepresentanteLegal': 'RENATO FRANZNER'}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '05-Administrador', 'Nome': 'J J F PARTICIPACOES LTDA', 'NomeRepresentanteLegal': 'JOSE JAIR FRANZNER'}]",4208906
320,02.006.655/0001-00,PEGORARO MACTOST INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,MACTOST,ROD BR 101,S/N,KM 209,AREA INDUSTRIAL,SAO JOSE,SC,(048) 2479-891,,,ATIVA,2004-08-14T00:00:00.000,,MATRIZ,1997-07-08T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,2232259.59,2006655,42.600.014.228,,False,False,2018-11-20T00:00:00.000,EPP,"10.99-6/99 Fabricação de outros produtos alimentícios não especificados anteriormente
","10.96-1/00 Fabricação de alimentos e pratos prontos
",Indústria,2232259.59,88103-480,"[{'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '05-Administrador', 'Nome': 'PEGORARO PARTICIPACOES S/A', 'NomeRepresentanteLegal': 'FIORELO PEGORARO'}, {'Qualificacao': '05-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'FIORELO PEGORARO', 'NomeRepresentanteLegal': None}, {'Qualificacao': '05-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'NILVA LUCIA PEGORARO', 'NomeRepresentanteLegal': None}, {'Qualificacao': '05-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'DEIVED PAULO PEGORARO', 'NomeRepresentanteLegal': None}, {'Qualificacao': '05-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'MAYCON LUIS PEGORARO', 'NomeRepresentanteLegal': None}]",4216602
321,02.202.565/0001-87,MASTERPLAST INDUSTRIA E COMERCIO DE PLASTICOS LTDA,MASTERPLAST,AV JOSE NEOLI CRUZ,4945,,ALTO PEREQUE,PORTO BELO,SC,(47) 3261-7700/ (47) 3261-7730,,www.masterplastfitas.com.br,ATIVA,2005-11-03T00:00:00.000,,MATRIZ,1997-09-22T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,380000.0,2202565,42.202.407.858,LUCRO REAL,False,False,2018-11-20T00:00:00.000,DEMAIS,"22.29-3/99 Fabricação de artefatos de material plástico para outros usos não especificados anteriormente
","22.22-6/00 Fabricação de embalagens de material plástico
22.23-4/00 Fabricação de tubos e acessórios de material plástico para uso na construção
22.29-3/01 Fabricação de artefatos de material plástico para uso pessoal e doméstico
22.29-3/03 Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios
46.49-4/99 Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente
46.89-3/99 Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente
",Indústria,380000.0,88210-000,"[{'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'PEDRO JACI MAIA', 'NomeRepresentanteLegal': None}, {'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'SANDRA MARGARETH FARIA MAIA', 'NomeRepresentanteLegal': None}]",4213500
322,00.713.282/0001-74,VIDROMIR INDUSTRIA E COM. DE VIDROS TEMPERADOS LTDA,PERSONAL GLASS,R JANUARIO PEREIRA DE LIMA,283,GALPAO,PACHECOS,PALHOCA,SC,,,,ATIVA,2003-07-05T00:00:00.000,,MATRIZ,1995-07-21T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,100000.0,713282,42.202.046.570,,,,,DEMAIS,"23.19-2/00 Fabricação de artigos de vidro
","46.79-6/03 Comércio atacadista de vidros, espelhos e vitrais
47.43-1/00 Comércio varejista de vidros
",Indústria,100000.0,88135-380,"[{'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'SAMIR CARDOSO', 'NomeRepresentanteLegal': None}, {'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'GEIZI IZAIAS CARDOSO', 'NomeRepresentanteLegal': None}]",4211900
323,00.374.121/0001-01,BRASILUX IND COMERCIO IMPORTACAO E EXPORTACAO LTDA,,"ROD BR 470 DO KM 65,001 AO KM 65,931 LADO IMPAR",2135,GALPAOA E B,ENCANO DO NORTE,INDAIAL,SC,(47) 3281-7358,marie@fank.com.br,www.taschibra.com.br,ATIVA,2005-11-03T00:00:00.000,,MATRIZ,1994-12-26T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,12770000.0,374121,42.201.939.988,LUCRO REAL,False,False,2019-11-21T16:34:33.000,DEMAIS,"46.49-4/06 Comércio atacadista de lustres, luminárias e abajures
","46.73-7/00 Comércio atacadista de material elétrico
22.29-3/02 Fabricação de artefatos de material plástico para usos industriais
27.40-6/02 Fabricação de luminárias e outros equipamentos de iluminação
",Comércio,12770000.0,89085-144,"[{'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'AFONSO LUIZ SCHREIBER', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'VANIA REGINA SCHREIBER', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'NATALIE SCHREIBER FELIPPI', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'TALITA ESTEFANIA SCHREIBER NEISS', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'AFONSO SCHREIBER NETO', 'NomeRepresentanteLegal': None}]",4207502
324,17.778.031/0001-70,AMBIENT SOFAS EIRELI,HABITATO SOFAS,R ORLANDO ODILIO KOERICH,S/N,GALPAO02 EDIF CRUZEIRO DO SUL TERREO01,PICADAS DO SUL,SAO JOSE,SC,(48) 3242-1609,fe0406@gmail.com,,ATIVA,2013-03-15T00:00:00.000,,MATRIZ,2013-03-15T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,,,88000.0,17778031,42.600.030.371,SIMPLES NACIONAL,True,False,2018-11-20T00:00:00.000,EPP,"31.01-2/00 Fabricação de móveis com predominância de madeira
",,Indústria,88000.0,88106-102,"[{'Qualificacao': '65-Titular Pessoa Física Residente ou Domiciliado no Brasil', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'FERNANDA CORREA DE SOUZA ABEL', 'NomeRepresentanteLegal': None}]",4216602
325,06.078.921/0001-53,BC INDUSTRIA COMERCIO E REPRESENTACOES DE MALHAS LTDA,,ROD DEPUTADO ANTONIO HEIL SC 486,125,,LIMOEIRO - URBANO,BRUSQUE,SC,(47) 3351-4500,REGISTROEMPRESARIAL@CONTASSE.COM.BR,,ATIVA,2004-10-23T00:00:00.000,,MATRIZ,2004-01-26T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,10000.0,6078921,42.203.403.775,LUCRO REAL,,,,DEMAIS,"13.30-8/00 Fabricação de tecidos de malha
","14.12-6/01 Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida
46.16-8/00 Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem
46.41-9/01 Comércio atacadista de tecidos
46.42-7/01 Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança
47.55-5/01 Comércio varejista de tecidos
47.63-6/02 Comércio varejista de artigos esportivos
47.81-4/00 Comércio varejista de artigos do vestuário e acessórios
",Indústria,10000.0,88352-502,"[{'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'BRUNO BURGER BEUTING', 'NomeRepresentanteLegal': None}, {'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'MARIA TERESA GALDINO', 'NomeRepresentanteLegal': None}]",4202909
326,79.674.297/0001-20,WARUSKY COMERCIO INDUSTRIA E REPRESENTACOES LTDA,,R GUSTAVO KOHLER,45,,SOUZA CRUZ,BRUSQUE,SC,(047) 3511-777,warusky@terra.com.br,,ATIVA,2003-10-04T00:00:00.000,,MATRIZ,1986-10-13T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,650000.0,79674297,42.200.878.705,LUCRO REAL,False,False,2021-02-04T11:13:02.000,DEMAIS,"14.12-6/01 Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida
","46.42-7/01 Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança
47.81-4/00 Comércio varejista de artigos do vestuário e acessórios
47.55-5/01 Comércio varejista de tecidos
13.30-8/00 Fabricação de tecidos de malha
14.12-6/03 Facção de peças do vestuário, exceto roupas íntimas
46.19-2/00 Representantes comerciais e agentes do comércio de mercadorias em geral não especializado
",Indústria,650000.0,88354-460,"[{'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'VALDIR FURBRINGER', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'MARIA FRANCISCA FURBRINGER', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'RUBIA MARA FURBRINGER RISTOW', 'NomeRepresentanteLegal': None}]",4202909
327,08.483.483/0001-34,ANJU INDUSTRIA E COMERCIO DE CAFE EIRELI,,R DR. GETULIO VARGAS,2620,GALPAO 1,BELA VISTA,IBIRAMA,SC,(47) 3357-3494,,,ATIVA,2006-11-30T00:00:00.000,,MATRIZ,2006-11-30T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,,,100000.0,8483483,42.600.036.124,,,,,DEMAIS,"10.81-3/02 Torrefação e moagem de café
","10.81-3/01 Beneficiamento de café
17.31-1/00 Fabricação de embalagens de papel
33.19-8/00 Manutenção e reparação de equipamentos e produtos não especificados anteriormente
46.37-1/01 Comércio atacadista de café torrado, moído e solúvel
46.39-7/01 Comércio atacadista de produtos alimentícios em geral
47.59-8/99 Comércio varejista de outros artigos de uso doméstico não especificados anteriormente
49.30-2/02 Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional
77.11-0/00 Locação de automóveis sem condutor
77.39-0/99 Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador
52.50-8/01 Comissaria de despachos
",Indústria,100000.0,89140-000,"[{'Qualificacao': '65-Titular Pessoa Física Residente ou Domiciliado no Brasil', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'SILVESTRE BARBI JUNIOR', 'NomeRepresentanteLegal': None}]",4206900
328,03.858.100/0001-41,HELLI BRASIL INDUSTRIA DO VESTUARIO LTDA,HELLI BRASIL,R POMERANOS,1363,,POMERANOS,TIMBO,SC,(47) 3308-4894,contato@imperiocontabilidade.com.br,,ATIVA,2005-11-03T00:00:00.000,,MATRIZ,2000-06-07T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,815000.0,3858100,42.202.842.180,LUCRO REAL,False,False,2018-11-20T00:00:00.000,EPP,"14.12-6/03 Facção de peças do vestuário, exceto roupas íntimas
",,Indústria,815000.0,89120-000,"[{'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'ITAMAR ACACIO CAMPESTRINI', 'NomeRepresentanteLegal': None}, {'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'OSNI BUETTNER', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '05-Administrador', 'Nome': 'IFC HOLDING EIRELI', 'NomeRepresentanteLegal': 'ITAMAR ACACIO CAMPESTRINI'}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '05-Administrador', 'Nome': 'EHB HOLDING EIRELI', 'NomeRepresentanteLegal': 'OSNI BUETTNER'}]",4218202
329,85.356.574/0001-50,KOHMAR IND. COM. DE CONFECCOES LTDA,,R BRUSQUE,2.670,: GALPOES A E B;,CENTRO,GUABIRUBA,SC,(47) 3354-6400/ (47) 3354-6444,nfe@kohmar.com.br,,ATIVA,2005-11-03T00:00:00.000,,MATRIZ,1992-07-27T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,1000000.0,85356574,42.201.587.208,,False,False,2021-05-10T15:48:41.000,DEMAIS,"14.12-6/01 Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida
","52.11-7/01 Armazéns gerais - emissão de warrant
52.12-5/00 Carga e descarga
46.42-7/01 Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança
47.81-4/00 Comércio varejista de artigos do vestuário e acessórios
82.92-0/00 Envasamento e empacotamento sob contrato
13.40-5/01 Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário
13.30-8/00 Fabricação de tecidos de malha
14.12-6/03 Facção de peças do vestuário, exceto roupas íntimas
46.16-8/00 Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem
13.21-9/00 Tecelagem de fios de algodão
",Indústria,1000000.0,88360-000,"[{'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'MARTINHO CARLOS KOHLER', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'STELA INES KOHLER DALBOSCO', 'NomeRepresentanteLegal': None}]",4206306
330,05.908.583/0001-77,CF ROCHA TEXTIL EIRELI,CF ROCHA TEXTIL,R JOHANN OHF,2526,SALA 01,VELHA CENTRAL,BLUMENAU,SC,(47) 3337-3700/ (47) 3337-8264,emersonfigueira13@gmail.com,,ATIVA,2005-03-12T00:00:00.000,,MATRIZ,2003-09-29T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,,,170000.0,5908583,42.600.605.889,LUCRO REAL,False,False,2018-11-20T00:00:00.000,DEMAIS,"14.12-6/01 Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida
","14.12-6/03 Facção de peças do vestuário, exceto roupas íntimas
",Indústria,170000.0,89046-115,"[{'Qualificacao': '65-Titular Pessoa Física Residente ou Domiciliado no Brasil', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'EMERSON DAMIANI ROCHA', 'NomeRepresentanteLegal': None}]",4202404
331,84.228.261/0001-53,TAPAJOS TEXTIL LTDA,,R MANAUS,110,,TAPAJOS,INDAIAL,SC,,,www.tapa.com.br,ATIVA,2003-10-18T00:00:00.000,,MATRIZ,1966-01-20T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,6660000.0,84228261,42.201.223.231,LUCRO REAL,False,False,2018-11-20T00:00:00.000,DEMAIS,"14.22-3/00 Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias
","00.00-0/00 Não informada
",Indústria,6660000.0,89080-001,"[{'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'EDELCIO HUEBES', 'NomeRepresentanteLegal': None}, {'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'EGERIO HUEBES', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'VIGANDO HUEBES FILHO', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'EDSON HUEBES', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'SHIRLEY REGINA MENKE', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'EDUARDO HUEBES', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'ELISANDRA HUEBES', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'CURT BELTRAM', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'ADALBERTO MALKOWSKI', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'NORMA HUEBES', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'EMIRA ANNA MENKE', 'NomeRepresentanteLegal': None}]",4207502
332,03.675.453/0001-06,UFO WAY DENIM BRASIL INDUSTRIA E COMERCIO DE CONFECCOES LTDA,,AC ESTADUAL RIO MAINA,1420,,VILA MACARINI,CRICIUMA,SC,(48) 3444-9413/ (48) 3444-9452,contabilidade1@ufoway.com.br,,ATIVA,2005-11-03T00:00:00.000,,MATRIZ,2000-02-28T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,1000000.0,3675453,42.205.684.771,,False,False,2020-09-01T13:44:26.000,DEMAIS,"14.12-6/01 Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida
","13.40-5/02 Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário
46.42-7/01 Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança
46.89-3/99 Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente
42.11-1/01 Construção de rodovias e ferrovias
13.40-5/01 Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário
43.13-4/00 Obras de terraplenagem
13.40-5/99 Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário
43.99-1/99 Serviços especializados para construção não especificados anteriormente
49.30-2/02 Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional
47.81-4/00 Comércio varejista de artigos do vestuário e acessórios
85.11-2/00 Educação infantil - creche
85.12-1/00 Educação infantil - pré-escola
",Indústria,1000000.0,88818-800,"[{'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'VALDIR MORETTO', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '05-Administrador', 'Nome': 'DAP PARTICIPACOES LTDA', 'NomeRepresentanteLegal': 'DICKSON DA SILVA MORETTO'}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '05-Administrador', 'Nome': 'GLAM PARTICIPACOES LTDA', 'NomeRepresentanteLegal': 'GRASIELA DA SILVA MORETTO DO NASCIMENTO'}]",4204608
