,Nome,UfEndereco,ReceitaSituacao,ReceitaAbertura,ReceitaNaturezaJuridica,ReceitaSituacaoEspecial,ReceitaCapitalSocial,OpcaoTributaria,Porte,ReceitaAtividade,cnpj,Faturamento,Funcionarios,TotalProtesto,ValorProtesto
162,NOVA ETIQUETAS INDUSTRIA E COMERCIO DE SUPRIMENTOS TEXTEIS LTDA,SC,ATIVA,2006-01-16T00:00:00.000,206-2 - Sociedade Empresária Limitada,,415000.0,SIMPLES NACIONAL,EPP,"13.59-6/00 Fabricação de outros produtos têxteis não especificados anteriormente
",07.805.011/0001-98,de 1.500.000 até 4.800.000,de 10 até 50,0,-
163,SCHEINY IND. E COM. DE CONFECCOES LTDA,SC,ATIVA,2001-03-07T00:00:00.000,206-2 - Sociedade Empresária Limitada,,210000.0,SIMPLES NACIONAL,EPP,"14.12-6/01 Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida
",04.330.681/0001-07,de 360.000 até 1.500.000,de 10 até 50,0,-
164,INDUSTRIA E COMERCIO DE CONFECCOES MORGANA LTDA,SC,ATIVA,1992-08-18T00:00:00.000,206-2 - Sociedade Empresária Limitada,,5000.0,,EPP,"13.30-8/00 Fabricação de tecidos de malha
",85.370.559/0001-66,de 360.000 até 1.500.000,de 10 até 50,0,-
165,ALEKIDS CONFECCOES LTDA,SC,ATIVA,2008-05-07T00:00:00.000,206-2 - Sociedade Empresária Limitada,,30000.0,,DEMAIS,"14.12-6/01 Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida
",09.545.429/0001-39,de 4.800.000 até 10.000.000,de 50 até 100,0,-
166,FIBRAM INDUSTRIA E COMERCIO DE ARTIGOS TEXTEIS LTDA,PR,ATIVA,2012-02-02T00:00:00.000,206-2 - Sociedade Empresária Limitada,,30000.0,,ME,"46.89-3/02 Comércio atacadista de fios e fibras beneficiados
",15.057.926/0001-90,de 81.000 até 360.000,de 0 até 5,0,-
167,NEW TEXTIL LTDA,SC,ATIVA,2002-10-24T00:00:00.000,206-2 - Sociedade Empresária Limitada,,3600000.0,SIMPLES NACIONAL,EPP,"13.30-8/00 Fabricação de tecidos de malha
",05.376.311/0001-73,de 360.000 até 1.500.000,de 10 até 50,0,-
168,GARMISCH TEXTIL EIRELI,SC,ATIVA,2007-07-16T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,100000.0,,EPP,"13.30-8/00 Fabricação de tecidos de malha
",08.953.166/0001-34,de 1.500.000 até 4.800.000,de 10 até 50,0,-
169,"NEW ORDER COMERCIO, IMPORTACAO E EXPORTACAO LTDA",SC,ATIVA,2003-06-11T00:00:00.000,206-2 - Sociedade Empresária Limitada,,300000.0,LUCRO PRESUMIDO,DEMAIS,"27.59-7/99 Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios
",05.703.627/0001-22,de 10.000.000 até 30.000.000,de 100 até 500,0,-
170,HANSA-FLEX DO BRASIL LTDA,SC,ATIVA,1999-11-04T00:00:00.000,206-2 - Sociedade Empresária Limitada,,1200000.0,LUCRO REAL,DEMAIS,"46.63-0/00 Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças
",03.485.692/0001-01,de 10.000.000 até 30.000.000,de 50 até 100,0,-
171,INDUSTRIA DE TINTAS E REVESTIMENTOS REALCOR EIRELI,PR,ATIVA,2008-06-13T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,100000.0,,ME,"20.71-1/00 Fabricação de tintas, vernizes, esmaltes e lacas
",09.649.019/0001-38,de 81.000 até 360.000,de 10 até 50,65,"1.001.458,69"
172,OBR EQUIPAMENTOS INDUSTRIAIS LTDA,SC,ATIVA,2001-04-26T00:00:00.000,206-2 - Sociedade Empresária Limitada,,400000.0,LUCRO PRESUMIDO,DEMAIS,"28.69-1/00 Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios
",04.444.171/0001-60,de 10.000.000 até 30.000.000,de 100 até 500,0,-
173,VALE INDUSTRIA E COMERCIO LTDA,SC,ATIVA,1998-10-06T00:00:00.000,206-2 - Sociedade Empresária Limitada,,573000.0,SIMPLES NACIONAL,EPP,"32.99-0/99 Fabricação de produtos diversos não especificados anteriormente
",02.791.452/0001-64,de 1.500.000 até 4.800.000,de 10 até 50,0,-
174,VOTEX INDUSTRIA TEXTIL LTDA.,SC,ATIVA,1996-09-02T00:00:00.000,206-2 - Sociedade Empresária Limitada,,25000.0,SIMPLES NACIONAL,EPP,"13.59-6/00 Fabricação de outros produtos têxteis não especificados anteriormente
",01.419.915/0001-07,de 360.000 até 1.500.000,de 5 até 10,0,-
175,PIERGO INDUSTRIA E COMERCIO DE ACO EIRELI EM RECUPERACAO JUDICIAL,PR,ATIVA,1971-11-17T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),RECUPERACAO JUDICIAL,9400000.0,LUCRO REAL,EPP,"25.42-0/00 Fabricação de artigos de serralheria, exceto esquadrias
",75.048.611/0001-09,de 4.800.000 até 10.000.000,de 100 até 500,23,"592.357,32"
176,WALENTEX INDUSTRIA E COMERCIO TEXTIL LTDA,SC,ATIVA,2009-07-17T00:00:00.000,206-2 - Sociedade Empresária Limitada,,20000.0,,EPP,"13.30-8/00 Fabricação de tecidos de malha
",10.979.752/0001-08,de 1.500.000 até 4.800.000,de 10 até 50,0,-
177,MADVEI LTDA,PR,ATIVA,2006-08-23T00:00:00.000,206-2 - Sociedade Empresária Limitada,,2000000.0,,DEMAIS,"16.10-2/03 Serrarias com desdobramento de madeira em bruto
",08.278.672/0001-75,de 30.000.000 até 100.000.000,de 10 até 50,229,"1.896.772,11"
178,BASTOS GESTAO EMPRESARIAL LTDA,PR,ATIVA,2012-07-11T00:00:00.000,206-2 - Sociedade Empresária Limitada,,40000.0,,EPP,"70.20-4/00 Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica
",16.437.064/0001-94,de 1.500.000 até 4.800.000,de 50 até 100,582,"4.602.115,30"
179,K N X BENEFICIAMENTO E COMERCIO DE CEREIAIS LTDA,PR,ATIVA,2012-06-27T00:00:00.000,206-2 - Sociedade Empresária Limitada,,10000.0,,ME,"46.32-0/03 Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas, com atividade de fracionamento e acondicionamento associada
",16.433.946/0001-81,de 81.000 até 360.000,de 0 até 5,16,"106.281,34"
180,ALEMARA MALHAS LTDA,SC,ATIVA,1998-12-03T00:00:00.000,206-2 - Sociedade Empresária Limitada,,5000.0,,DEMAIS,"14.12-6/01 Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida
",02.888.241/0001-44,de 360.000 até 1.500.000,de 10 até 50,0,-
181,SOLEFILMES IMPORTACAO DISTRIBUICAO E LOGISTICA LTDA,SC,ATIVA,2004-11-09T00:00:00.000,206-2 - Sociedade Empresária Limitada,,5400000.0,,DEMAIS,"46.89-3/99 Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente
",07.083.668/0001-99,de 1.500.000 até 4.800.000,de 10 até 50,0,-
182,COLEGIO VISAO LTDA,SC,ATIVA,2005-10-05T00:00:00.000,206-2 - Sociedade Empresária Limitada,,1280382.0,,DEMAIS,"85.11-2/00 Educação infantil - creche
",07.622.613/0001-00,de 1.500.000 até 4.800.000,de 10 até 50,1,"80,00"
183,ENFESMAK INDUSTRIA E COMERCIO LTDA,SC,ATIVA,1985-12-02T00:00:00.000,206-2 - Sociedade Empresária Limitada,,50000.0,,EPP,"28.63-1/00 Fabricação de máquinas e equipamentos para a indústria têxtil, peças e acessórios
",79.024.501/0001-68,de 1.500.000 até 4.800.000,de 10 até 50,98,"568.734,45"
184,ELETROLED ATACADISTA DE MATERIAIS DE CONSTRUCAO E ELETRICOS EIRELI,SC,ATIVA,2008-09-29T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,95000.0,LUCRO PRESUMIDO,DEMAIS,"46.79-6/99 Comércio atacadista de materiais de construção em geral
",10.374.537/0001-75,de 10.000.000 até 30.000.000,de 50 até 100,3,"22.185,88"
185,ELLO INDUSTRIA E COMERCIO DE TUBOS E ACESSORIOS EIRELI,PR,BAIXADA,2004-08-18T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,75000.0,,DEMAIS,,06.938.426/0001-77,de 0 até 81.000,de 100 até 500,45,"91.524,54"
186,GRAPPA INDUSTRIA E COMERCIO DE MOVEIS - EIRELI,PR,ATIVA,2002-01-17T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,4000000.0,LUCRO REAL,EPP,"31.01-2/00 Fabricação de móveis com predominância de madeira
",04.861.226/0001-38,de 1.500.000 até 4.800.000,de 100 até 500,73,"1.815.406,94"
187,TOMASONI INDUSTRIA DE MAQUINAS LTDA,PR,ATIVA,1997-06-30T00:00:00.000,206-2 - Sociedade Empresária Limitada,,800000.0,LUCRO PRESUMIDO,DEMAIS,"28.65-8/00 Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos, peças e acessórios
",01.956.679/0001-50,de 4.800.000 até 10.000.000,de 50 até 100,0,-
188,ARVAL BENEFICIAMENTOS TEXTEIS S/A,SC,ATIVA,2013-03-05T00:00:00.000,205-4 - Sociedade Anônima Fechada,,400000.0,,DEMAIS,"13.40-5/02 Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário
",17.713.089/0001-36,de 4.800.000 até 10.000.000,de 50 até 100,32,"1.207.290,80"
189,MODECOL MOVEIS E DECORACOES LTDA,SC,ATIVA,1976-09-27T00:00:00.000,206-2 - Sociedade Empresária Limitada,,200000.0,SIMPLES NACIONAL,EPP,"31.01-2/00 Fabricação de móveis com predominância de madeira
",83.284.158/0001-68,de 360.000 até 1.500.000,de 10 até 50,33,"81.596,47"
190,KRETZER DISTRIBUIDORA LTDA,SC,ATIVA,1996-07-22T00:00:00.000,206-2 - Sociedade Empresária Limitada,,833318.0,LUCRO REAL,DEMAIS,"46.49-4/08 Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar
",01.322.816/0001-02,de 30.000.000 até 100.000.000,de 50 até 100,0,-
191,JOHNMAR COMERCIO E REPRESENTACOES LTDA,SC,ATIVA,1985-11-27T00:00:00.000,206-2 - Sociedade Empresária Limitada,,180000.0,LUCRO PRESUMIDO,DEMAIS,"46.49-4/08 Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar
",79.022.877/0001-33,de 30.000.000 até 100.000.000,de 50 até 100,1,"448,00"
192,ARTINOX DECORACOES LTDA,SC,ATIVA,1995-03-14T00:00:00.000,206-2 - Sociedade Empresária Limitada,,88000.0,SIMPLES NACIONAL,EPP,"25.42-0/00 Fabricação de artigos de serralheria, exceto esquadrias
",00.478.490/0001-36,de 1.500.000 até 4.800.000,de 10 até 50,0,-
193,UNITECH INDUSTRIA DE MAQUINAS LTDA,PR,ATIVA,2008-01-29T00:00:00.000,206-2 - Sociedade Empresária Limitada,,5000.0,,DEMAIS,"28.62-3/00 Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios
",09.465.904/0001-67,de 4.800.000 até 10.000.000,de 50 até 100,0,-
194,MGS INDUSTRIA E COMERCIO DE PLASTICOS LTDA,PR,ATIVA,1988-01-20T00:00:00.000,206-2 - Sociedade Empresária Limitada,,1800000.0,LUCRO REAL,DEMAIS,"22.29-3/02 Fabricação de artefatos de material plástico para usos industriais
",80.391.956/0001-09,de 10.000.000 até 30.000.000,de 100 até 500,18,"4.149.908,71"
195,CERAMICA SETENTA LTDA,PR,ATIVA,1970-11-01T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,LUCRO PRESUMIDO,DEMAIS,"23.42-7/02 Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos
",76.096.155/0001-35,de 1.500.000 até 4.800.000,de 10 até 50,18,"28.753,40"
196,GESTAMP BRASIL INDUSTRIA DE AUTOPECAS S/A,PR,ATIVA,1997-09-08T00:00:00.000,205-4 - Sociedade Anônima Fechada,,229914393.0,LUCRO REAL,DEMAIS,"29.49-2/99 Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
",02.147.467/0001-94,acima de 1.000.000.000,de 100 até 500,22,"104.828,44"
197,SERZEGRAF INDUSTRIA EDITORA GRAFICA LTDA,PR,ATIVA,1992-06-02T00:00:00.000,206-2 - Sociedade Empresária Limitada,,250000.0,LUCRO REAL,DEMAIS,"18.11-3/02 Impressão de livros, revistas e outras publicações periódicas
",85.053.296/0001-61,de 10.000.000 até 30.000.000,de 50 até 100,85,"6.678.936,30"
198,METALNORTE INDUSTRIA E COMERCIO LTDA,SC,ATIVA,1986-10-29T00:00:00.000,206-2 - Sociedade Empresária Limitada,,5000.0,,EPP,"28.64-0/00 Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados, peças e acessórios
",79.691.556/0001-21,de 1.500.000 até 4.800.000,de 10 até 50,29,"1.192.302,98"
199,EDROMANIA INDUSTRIA E COMERCIO LTDA,SC,ATIVA,2001-03-12T00:00:00.000,206-2 - Sociedade Empresária Limitada,,60000.0,,EPP,"13.51-1/00 Fabricação de artefatos têxteis para uso doméstico
",04.340.373/0001-62,de 1.500.000 até 4.800.000,de 10 até 50,0,-
200,ESTOPARIA CATARINENSE LTDA,SC,ATIVA,1999-09-13T00:00:00.000,206-2 - Sociedade Empresária Limitada,,2400000.0,SIMPLES NACIONAL,EPP,"13.11-1/00 Preparação e fiação de fibras de algodão
",03.409.347/0001-80,de 1.500.000 até 4.800.000,de 10 até 50,0,-
201,CENTRACO CORREIAS LTDA,SC,ATIVA,1994-07-28T00:00:00.000,206-2 - Sociedade Empresária Limitada,,210000.0,,DEMAIS,"46.63-0/00 Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças
",00.126.674/0001-37,de 10.000.000 até 30.000.000,de 50 até 100,0,-
202,RAMATEX COMERCIO DE TECIDOS E AVIAMENTOS LTDA.,SC,ATIVA,1990-10-16T00:00:00.000,206-2 - Sociedade Empresária Limitada,,134000.0,LUCRO PRESUMIDO,DEMAIS,"47.55-5/01 Comércio varejista de tecidos
",82.700.808/0001-46,de 10.000.000 até 30.000.000,de 50 até 100,0,-
203,ARGASENS INDUSTRIA E COMERCIO DE ARGAMASSA PARA CONSTRUCAO EIRELI,SC,ATIVA,1999-07-27T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,90000.0,SIMPLES NACIONAL,EPP,"23.30-3/05 Preparação de massa de concreto e argamassa para construção
",03.314.111/0001-60,de 1.500.000 até 4.800.000,de 10 até 50,0,-
204,"LYNUS INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO LTDA",SC,ATIVA,2005-01-04T00:00:00.000,206-2 - Sociedade Empresária Limitada,,24050000.0,,DEMAIS,"28.40-2/00 Fabricação de máquinas-ferramenta, peças e acessórios
",07.162.964/0001-85,de 4.800.000 até 10.000.000,de 50 até 100,0,-
205,DRL BENEFICIAMENTOS TEXTEIS EIRELI,SC,ATIVA,2012-05-21T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,75000.0,,EPP,"13.40-5/99 Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário
",15.585.840/0001-30,de 0 até 81.000,de 10 até 50,227,"1.393.990,85"
206,TEZONI PINTURA PO ELETROSTATICA EIRELI,SC,ATIVA,1999-12-15T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,99800.0,,EPP,"25.39-0/02 Serviços de tratamento e revestimento em metais
",03.554.317/0001-68,de 1.500.000 até 4.800.000,de 10 até 50,0,-
207,JUVIL INDUSTRIA E COMERCIO DE PLASTICOS LTDA,SC,ATIVA,2009-12-16T00:00:00.000,206-2 - Sociedade Empresária Limitada,,450000.0,,EPP,"46.49-4/99 Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente
",11.405.383/0001-02,de 360.000 até 1.500.000,de 10 até 50,?,"14.396,00"
208,MALHAS MANDEL LTDA,SC,ATIVA,1992-05-10T00:00:00.000,206-2 - Sociedade Empresária Limitada,,6000.0,SIMPLES NACIONAL,EPP,"13.21-9/00 Tecelagem de fios de algodão
",85.324.846/0001-30,de 360.000 até 1.500.000,de 10 até 50,0,-
209,SMIERVEDA VEDACOES INDUSTRIAIS LTDA,SC,ATIVA,2015-04-14T00:00:00.000,206-2 - Sociedade Empresária Limitada,,2660000.0,,DEMAIS,"46.63-0/00 Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças
",22.251.725/0001-95,de 10.000.000 até 30.000.000,de 50 até 100,0,-
210,CR FOODS INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,SC,ATIVA,2008-09-12T00:00:00.000,206-2 - Sociedade Empresária Limitada,,120000.0,,EPP,"10.91-1/01 Fabricação de produtos de panificação industrial
",10.334.206/0001-01,de 360.000 até 1.500.000,de 10 até 50,59,"1.046.918,32"
211,TELHAS PONTA GROSSA - EIRELI,PR,ATIVA,2012-09-14T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,100000.0,,DEMAIS,"25.99-3/99 Fabricação de outros produtos de metal não especificados anteriormente
",16.937.668/0001-08,de 10.000.000 até 30.000.000,de 100 até 500,137,"2.164.092,17"
212,AGRISA AGROINDUSTRIAL DE SUBPRODUTOS ANIMAL LTDA,PR,ATIVA,2009-04-23T00:00:00.000,206-2 - Sociedade Empresária Limitada,,120000.0,,DEMAIS,"10.13-9/02 Preparação de subprodutos do abate
",10.781.498/0001-20,de 0 até 81.000,de 50 até 100,188,"1.324.194,17"
213,IRIDIUM INDUSTRIA DE CONFECCOES EIRELI,PR,ATIVA,2008-06-30T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,150000.0,,EPP,"14.12-6/01 Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida
",09.676.038/0001-53,de 360.000 até 1.500.000,de 10 até 50,72,"450.511,23"
214,MOBILIA INDUSTRIA E COMERCIO DE MOVEIS DE ALUMINIO LTDA,PR,ATIVA,2004-08-23T00:00:00.000,206-2 - Sociedade Empresária Limitada,,20000.0,,EPP,"31.02-1/00 Fabricação de móveis com predominância de metal
",06.947.872/0001-48,de 360.000 até 1.500.000,de 10 até 50,0,-
215,PLASLINI INDUSTRIA DE ARTEFATOS DE PLASTICOS LTDA,SC,ATIVA,1995-07-04T00:00:00.000,206-2 - Sociedade Empresária Limitada,,74000.0,SIMPLES NACIONAL,EPP,"22.29-3/99 Fabricação de artefatos de material plástico para outros usos não especificados anteriormente
",00.680.853/0001-11,de 1.500.000 até 4.800.000,de 10 até 50,0,-
216,TIMPLAST INDUSTRIA E COMERCIO DE PLASTICOS LTDA,SC,ATIVA,2013-03-18T00:00:00.000,206-2 - Sociedade Empresária Limitada,,30000.0,SIMPLES NACIONAL,EPP,"32.40-0/99 Fabricação de outros brinquedos e jogos recreativos não especificados anteriormente
",17.794.841/0001-10,de 360.000 até 1.500.000,de 10 até 50,0,-
217,ADIPRO INGREDIENTES ALIMENTICIOS EIRELI,PR,ATIVA,2012-05-14T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresári,,328750.0,,ME,"10.95-3/00 Fabricação de especiarias, molhos, temperos e condimentos
",15.588.112/0001-82,de 81.000 até 360.000,de 10 até 50,61,"562.914,64"
218,LAVANDERIA E TINTURARIA QUALITY LTDA,SC,ATIVA,1989-03-09T00:00:00.000,206-2 - Sociedade Empresária Limitada,,70000.0,SIMPLES NACIONAL,EPP,"13.40-5/02 Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário
",81.026.890/0001-02,de 1.500.000 até 4.800.000,de 10 até 50,0,-
219,PROCOAT PINTURAS TECNICAS EIRELI,PR,ATIVA,2011-06-13T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,90000.0,,DEMAIS,"25.39-0/02 Serviços de tratamento e revestimento em metais
",13.861.424/0001-92,de 0 até 81.000,de 10 até 50,8,"5.307,08"
220,PINTON & CIA LTDA,PR,ATIVA,1966-08-10T00:00:00.000,206-2 - Sociedade Empresária Limitada,,537795.0,LUCRO REAL,EPP,"15.21-1/00 Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material
",76.492.131/0001-03,de 1.500.000 até 4.800.000,de 10 até 50,98,"455.796,69"
221,WE TEXTIL LTDA,SC,ATIVA,2017-05-29T00:00:00.000,206-2 - Sociedade Empresária Limitada,,20000.0,SIMPLES NACIONAL,ME,"47.81-4/00 Comércio varejista de artigos do vestuário e acessórios
",27.854.414/0001-34,de 81.000 até 360.000,de 5 até 10,46,"54.858,41"
222,ESTOPACK EMBALAGENS LTDA.,SC,ATIVA,2004-11-23T00:00:00.000,206-2 - Sociedade Empresária Limitada,,30000.0,,EPP,"22.22-6/00 Fabricação de embalagens de material plástico
",07.110.898/0001-08,de 360.000 até 1.500.000,de 10 até 50,31,"929.502,49"
223,IPPEL EQUIPAMENTOS LTDA,PR,ATIVA,1987-02-16T00:00:00.000,206-2 - Sociedade Empresária Limitada,,50000.0,LUCRO PRESUMIDO,DEMAIS,"28.65-8/00 Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos, peças e acessórios
",79.902.185/0001-80,de 10.000.000 até 30.000.000,de 100 até 500,0,-
224,ELG PEDESTAIS LTDA,SC,ATIVA,2002-04-15T00:00:00.000,206-2 - Sociedade Empresária Limitada,,5000000.0,,DEMAIS,"46.89-3/99 Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente
",05.012.368/0001-93,de 30.000.000 até 100.000.000,de 50 até 100,0,-
225,PLANOINOX IMPORTACAO E EXPORTACAO LTDA.,SC,ATIVA,2004-06-23T00:00:00.000,206-2 - Sociedade Empresária Limitada,,300000.0,,DEMAIS,"46.85-1/00 Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção
",06.341.728/0001-63,de 360.000 até 1.500.000,de 0 até 5,0,-
226,SPECTROCHEM INDUSTRIA E COMERCIO DE ADITIVOS LTDA,SC,ATIVA,2004-10-22T00:00:00.000,206-2 - Sociedade Empresária Limitada,,250000.0,,EPP,"20.19-3/99 Fabricação de outros produtos químicos inorgânicos não especificados anteriormente
",07.067.469/0001-97,de 360.000 até 1.500.000,de 10 até 50,4,"292.287,71"
227,MOLDA MOLDES INDUSTRIAL EIRELI,SC,ATIVA,2005-03-28T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,100000.0,,EPP,"28.69-1/00 Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios
",07.300.335/0001-74,de 360.000 até 1.500.000,de 10 até 50,23,"27.211,57"
228,D2U IMPORTACAO E EXPORTACAO LTDA,SC,ATIVA,2010-03-08T00:00:00.000,206-2 - Sociedade Empresária Limitada,,1000000.0,,EPP,"46.37-1/99 Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente
",11.651.057/0001-77,de 1.500.000 até 4.800.000,de 10 até 50,0,-
229,LAPLAST LTDA,SC,BAIXADA,2008-12-08T00:00:00.000,206-2 - Sociedade Empresária Limitada,,40000.0,SIMPLES NACIONAL,ME,,10.556.940/0001-15,de 0 até 81.000,de 5 até 10,0,-
230,RIADE 1 LTDA,SC,ATIVA,2001-09-12T00:00:00.000,206-2 - Sociedade Empresária Limitada,,150000.0,,DEMAIS,"14.12-6/01 Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida
",04.657.129/0001-28,de 10.000.000 até 30.000.000,acima de 500,0,-
231,COSTAO DO SANTINHO TURISMO E LAZER LTDA,SC,ATIVA,2002-01-29T00:00:00.000,206-2 - Sociedade Empresária Limitada,,24679042.0,,DEMAIS,"55.10-8/01 Hotéis
",04.908.757/0001-39,de 100.000.000 até 300.000.000,de 100 até 500,0,-
232,A.C.F INDUSTRIA E COMERCIO LTDA,SC,ATIVA,2010-06-25T00:00:00.000,206-2 - Sociedade Empresária Limitada,,30000.0,,DEMAIS,"22.29-3/01 Fabricação de artefatos de material plástico para uso pessoal e doméstico
",12.130.463/0001-57,de 4.800.000 até 10.000.000,de 50 até 100,0,-
233,PICOTEX COMERCIO DE AVIAMENTOS EIRELI,SC,ATIVA,2004-04-30T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,1000000.0,,DEMAIS,"13.40-5/99 Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário
",06.235.483/0001-90,de 4.800.000 até 10.000.000,de 100 até 500,27,"660.420,25"
234,EIGHT - FOUR INDUSTRIA TEXTIL LTDA,SC,ATIVA,2011-09-14T00:00:00.000,206-2 - Sociedade Empresária Limitada,,20000.0,SIMPLES NACIONAL,ME,"14.12-6/01 Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida
",14.304.911/0001-17,de 81.000 até 360.000,de 10 até 50,0,-
235,DALQUIM INDUSTRIA E COMERCIO LTDA,SC,ATIVA,1999-07-14T00:00:00.000,206-2 - Sociedade Empresária Limitada,,4000000.0,LUCRO REAL,DEMAIS,"10.66-0/00 Fabricação de alimentos para animais
",03.346.298/0001-84,de 30.000.000 até 100.000.000,de 100 até 500,0,-
236,VITALFORM INDUSTRIA E COMERCIO DE PLASTICOS - EIRELI,PR,ATIVA,2001-03-19T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,93700.0,,EPP,"22.29-3/01 Fabricação de artefatos de material plástico para uso pessoal e doméstico
",04.344.406/0001-42,de 1.500.000 até 4.800.000,de 10 até 50,174,"512.082,06"
237,TULARTE INDUSTRIA E COMERCIO DE CORTINAS EIRELI,SC,ATIVA,1995-11-07T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,200000.0,,DEMAIS,"13.51-1/00 Fabricação de artefatos têxteis para uso doméstico
",00.906.835/0001-05,de 4.800.000 até 10.000.000,acima de 500,10,"33.244,70"
238,DICOLORE COSMETICOS LTDA,SC,ATIVA,2005-06-22T00:00:00.000,206-2 - Sociedade Empresária Limitada,,50000.0,,EPP,"46.46-0/01 Comércio atacadista de cosméticos e produtos de perfumaria
",07.598.516/0001-29,de 10.000.000 até 30.000.000,de 50 até 100,0,-
239,IBI COMERCIO DE OLEOS E GORDURAS LTDA,PR,ATIVA,2017-04-03T00:00:00.000,206-2 - Sociedade Empresária Limitada,,100000.0,,EPP,"46.37-1/03 Comércio atacadista de óleos e gorduras
",27.445.313/0001-00,de 360.000 até 1.500.000,de 0 até 5,0,-
240,EMBIND EMBALAGENS INDUSTRIAIS LTDA,SC,ATIVA,2000-01-28T00:00:00.000,206-2 - Sociedade Empresária Limitada,,30000.0,,EPP,"46.86-9/02 Comércio atacadista de embalagens
",03.623.427/0001-34,de 360.000 até 1.500.000,de 0 até 5,0,-
241,CONTE DISTRIBUIDORA DE ACOS LTDA,SC,ATIVA,1984-05-08T00:00:00.000,206-2 - Sociedade Empresária Limitada,,1000000.0,LUCRO REAL,DEMAIS,"46.85-1/00 Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção
",78.262.169/0001-07,de 30.000.000 até 100.000.000,de 50 até 100,0,-
242,JAYFEX CONSULTORIA E COMERCIO EXTERIOR LTDA,SC,ATIVA,2004-07-13T00:00:00.000,206-2 - Sociedade Empresária Limitada,,2149189.0,,DEMAIS,"46.71-1/00 Comércio atacadista de madeira e produtos derivados
",06.698.707/0001-08,de 10.000.000 até 30.000.000,de 50 até 100,0,-
